Pavarde             Vardas              Nd1      Nd2      Nd3      Nd4      Nd5      Nd6      Nd7      Egz      
Pavarde514          Vardas514           6        5        6        2        7        7        8        2        
Pavarde515          Vardas515           1        8        4        3        4        1        6        7        
Pavarde516          Vardas516           2        10       10       2        4        9        1        6        
Pavarde517          Vardas517           8        2        2        4        1        6        4        8        
Pavarde518          Vardas518           2        4        4        9        2        9        10       9        
Pavarde519          Vardas519           10       7        1        10       5        6        1        3        
Pavarde520          Vardas520           6        4        5        5        3        5        3        3        
Pavarde521          Vardas521           4        4        10       8        6        1        1        7        
Pavarde522          Vardas522           8        5        3        4        2        4        4        5        
Pavarde523          Vardas523           8        10       4        2        3        9        8        8        
Pavarde524          Vardas524           6        10       1        7        9        3        4        8        
Pavarde525          Vardas525           8        3        8        9        7        9        2        3        
Pavarde526          Vardas526           3        3        2        3        2        8        9        6        
Pavarde527          Vardas527           3        3        3        7        6        10       7        9        
Pavarde528          Vardas528           1        8        9        5        3        10       4        9        
Pavarde529          Vardas529           5        3        9        2        4        1        9        9        
Pavarde530          Vardas530           5        5        5        2        2        1        6        5        
Pavarde531          Vardas531           8        7        10       10       9        8        4        9        
Pavarde532          Vardas532           3        1        8        10       7        6        10       3        
Pavarde533          Vardas533           10       9        3        6        9        1        8        8        
Pavarde534          Vardas534           2        10       2        6        9        6        8        7        
Pavarde535          Vardas535           8        4        5        1        5        10       9        1        
Pavarde536          Vardas536           5        1        3        7        4        8        4        2        
Pavarde537          Vardas537           9        1        9        6        2        2        9        8        
Pavarde538          Vardas538           3        7        9        1        5        4        3        7        
Pavarde539          Vardas539           4        8        2        2        5        10       1        4        
Pavarde540          Vardas540           9        10       8        2        8        7        10       1        
Pavarde541          Vardas541           3        5        5        2        6        7        6        3        
Pavarde542          Vardas542           5        10       7        10       9        7        9        8        
Pavarde543          Vardas543           6        8        4        3        7        9        2        5        
Pavarde544          Vardas544           3        1        5        2        5        7        9        1        
Pavarde545          Vardas545           3        7        8        5        6        1        10       6        
Pavarde546          Vardas546           1        3        4        3        6        5        4        7        
Pavarde547          Vardas547           3        6        7        4        10       8        5        10       
Pavarde548          Vardas548           7        8        8        6        3        6        1        2        
Pavarde549          Vardas549           9        7        8        6        4        2        5        1        
Pavarde550          Vardas550           1        8        7        7        10       5        7        4        
Pavarde551          Vardas551           6        2        9        10       6        8        2        5        
Pavarde552          Vardas552           6        8        3        10       1        4        5        5        
Pavarde553          Vardas553           6        2        1        10       7        6        10       4        
Pavarde554          Vardas554           1        7        10       9        1        4        4        5        
Pavarde555          Vardas555           7        2        1        3        4        8        7        6        
Pavarde556          Vardas556           6        2        6        9        9        8        2        1        
Pavarde557          Vardas557           4        3        8        9        10       1        9        9        
Pavarde558          Vardas558           4        5        10       6        3        8        3        8        
Pavarde559          Vardas559           7        8        4        10       6        2        8        3        
Pavarde560          Vardas560           10       1        7        7        9        1        4        4        
Pavarde561          Vardas561           10       9        6        2        2        7        4        4        
Pavarde562          Vardas562           9        2        3        8        5        5        8        6        
Pavarde563          Vardas563           1        5        9        3        9        3        9        9        
Pavarde564          Vardas564           3        5        4        5        7        7        6        8        
Pavarde565          Vardas565           9        6        1        4        1        9        8        6        
Pavarde566          Vardas566           7        7        8        4        6        6        3        1        
Pavarde567          Vardas567           5        10       5        8        8        10       9        3        
Pavarde568          Vardas568           9        4        1        5        5        3        6        1        
Pavarde569          Vardas569           10       7        2        6        10       4        3        2        
Pavarde570          Vardas570           9        5        3        3        9        4        6        4        
Pavarde571          Vardas571           6        8        9        9        8        2        3        4        
Pavarde572          Vardas572           2        6        3        5        2        5        9        8        
Pavarde573          Vardas573           8        5        10       4        1        8        6        1        
Pavarde574          Vardas574           1        10       4        8        8        6        7        6        
Pavarde575          Vardas575           2        5        3        2        9        8        3        9        
Pavarde576          Vardas576           2        2        6        8        9        1        7        6        
Pavarde577          Vardas577           7        8        3        1        8        3        1        2        
Pavarde578          Vardas578           10       8        8        4        4        4        1        9        
Pavarde579          Vardas579           7        7        6        5        6        2        4        8        
Pavarde580          Vardas580           3        10       1        4        8        4        2        5        
Pavarde581          Vardas581           1        6        6        5        9        8        5        9        
Pavarde582          Vardas582           6        3        9        7        1        4        7        1        
Pavarde583          Vardas583           10       3        7        4        9        1        2        2        
Pavarde584          Vardas584           9        5        5        4        1        5        4        2        
Pavarde585          Vardas585           4        3        8        5        4        9        10       10       
Pavarde586          Vardas586           4        2        8        1        6        9        5        5        
Pavarde587          Vardas587           1        2        4        1        9        4        5        1        
Pavarde588          Vardas588           1        5        6        8        7        9        9        1        
Pavarde589          Vardas589           9        8        1        8        7        7        6        9        
Pavarde590          Vardas590           9        5        4        3        1        8        9        4        
Pavarde591          Vardas591           3        6        5        9        3        3        3        2        
Pavarde592          Vardas592           6        3        5        2        7        9        3        9        
Pavarde593          Vardas593           5        3        1        6        10       2        10       2        
Pavarde594          Vardas594           1        4        2        8        5        5        2        6        
Pavarde595          Vardas595           4        1        5        9        9        6        2        1        
Pavarde596          Vardas596           8        9        9        7        7        6        1        1        
Pavarde597          Vardas597           4        7        7        10       7        3        7        8        
Pavarde598          Vardas598           4        4        4        4        8        10       5        6        
Pavarde599          Vardas599           8        4        2        5        1        4        6        8        
Pavarde600          Vardas600           4        3        9        8        2        1        8        8        
Pavarde601          Vardas601           2        2        3        2        9        5        1        7        
Pavarde602          Vardas602           10       5        7        1        9        4        8        8        
Pavarde603          Vardas603           5        8        3        6        6        6        8        3        
Pavarde604          Vardas604           7        7        10       5        7        1        7        9        
Pavarde605          Vardas605           7        6        1        7        3        8        2        8        
Pavarde606          Vardas606           8        9        5        8        2        7        10       10       
Pavarde607          Vardas607           6        6        1        6        1        9        5        4        
Pavarde608          Vardas608           7        2        10       9        3        2        10       10       
Pavarde609          Vardas609           2        10       10       3        2        2        9        7        
Pavarde610          Vardas610           10       10       6        5        4        9        3        4        
Pavarde611          Vardas611           6        8        5        2        10       9        9        6        
Pavarde612          Vardas612           5        10       5        4        8        8        8        9        
Pavarde613          Vardas613           5        9        4        6        4        3        9        10       
Pavarde614          Vardas614           10       5        5        2        1        4        9        5        
Pavarde615          Vardas615           3        5        4        9        9        10       3        9        
Pavarde616          Vardas616           3        4        5        4        2        6        7        10       
Pavarde617          Vardas617           9        1        3        6        7        8        1        8        
Pavarde618          Vardas618           2        8        4        8        1        9        4        9        
Pavarde619          Vardas619           6        7        4        1        7        6        8        8        
Pavarde620          Vardas620           2        4        10       5        1        6        9        2        
Pavarde621          Vardas621           2        1        9        10       6        9        5        3        
Pavarde622          Vardas622           2        7        5        8        3        5        8        7        
Pavarde623          Vardas623           5        4        6        10       10       10       8        10       
Pavarde624          Vardas624           8        7        7        9        2        3        10       5        
Pavarde625          Vardas625           9        2        3        5        1        8        5        3        
Pavarde626          Vardas626           2        5        2        6        10       8        3        3        
Pavarde627          Vardas627           3        7        3        7        7        6        7        4        
Pavarde628          Vardas628           7        3        10       8        9        10       10       3        
Pavarde629          Vardas629           6        5        6        7        7        10       7        2        
Pavarde630          Vardas630           1        8        10       7        1        4        2        4        
Pavarde631          Vardas631           7        10       2        6        2        10       8        8        
Pavarde632          Vardas632           6        4        9        10       9        8        9        8        
Pavarde633          Vardas633           7        10       1        8        6        1        8        1        
Pavarde634          Vardas634           7        3        4        3        8        1        4        3        
Pavarde635          Vardas635           2        10       10       6        9        7        7        2        
Pavarde636          Vardas636           1        9        6        1        10       9        6        8        
Pavarde637          Vardas637           9        5        4        7        1        3        4        2        
Pavarde638          Vardas638           8        4        10       8        5        10       1        2        
Pavarde639          Vardas639           5        8        8        4        10       8        1        3        
Pavarde640          Vardas640           9        5        2        2        2        2        6        6        
Pavarde641          Vardas641           1        10       10       8        1        5        9        6        
Pavarde642          Vardas642           6        8        6        3        4        3        1        2        
Pavarde643          Vardas643           2        10       7        5        2        7        3        4        
Pavarde644          Vardas644           6        6        7        5        7        8        3        3        
Pavarde645          Vardas645           2        9        1        5        7        1        6        5        
Pavarde646          Vardas646           1        6        2        4        5        9        9        2        
Pavarde647          Vardas647           2        1        8        6        6        7        7        3        
Pavarde648          Vardas648           7        7        1        1        1        3        1        4        
Pavarde649          Vardas649           9        2        5        3        8        5        10       8        
Pavarde650          Vardas650           7        7        10       9        10       6        8        6        
Pavarde651          Vardas651           2        2        7        8        7        7        9        3        
Pavarde652          Vardas652           10       7        2        7        4        1        3        3        
Pavarde653          Vardas653           2        8        1        8        1        1        5        5        
Pavarde654          Vardas654           3        6        4        5        7        8        1        5        
Pavarde655          Vardas655           1        9        5        3        10       10       1        6        
Pavarde656          Vardas656           9        6        6        4        10       1        7        3        
Pavarde657          Vardas657           9        7        6        3        5        3        7        4        
Pavarde658          Vardas658           1        7        3        9        7        1        7        4        
Pavarde659          Vardas659           2        10       9        8        9        10       1        4        
Pavarde660          Vardas660           7        10       9        6        3        8        3        4        
Pavarde661          Vardas661           2        1        10       10       8        5        10       1        
Pavarde662          Vardas662           3        9        8        10       10       2        6        1        
Pavarde663          Vardas663           7        5        4        8        7        2        4        7        
Pavarde664          Vardas664           6        7        4        4        7        2        6        10       
Pavarde665          Vardas665           5        10       6        2        9        3        5        7        
Pavarde666          Vardas666           3        7        8        2        1        10       6        1        
Pavarde667          Vardas667           2        2        10       1        3        10       4        3        
Pavarde668          Vardas668           1        10       6        1        7        5        10       5        
Pavarde669          Vardas669           8        6        1        1        1        9        8        2        
Pavarde670          Vardas670           5        9        10       6        2        10       4        6        
Pavarde671          Vardas671           10       9        4        8        4        1        7        3        
Pavarde672          Vardas672           1        9        9        9        6        7        3        4        
Pavarde673          Vardas673           1        8        8        7        7        7        3        7        
Pavarde674          Vardas674           10       8        8        10       8        9        1        4        
Pavarde675          Vardas675           7        2        3        6        4        6        3        5        
Pavarde676          Vardas676           7        8        1        8        4        8        3        2        
Pavarde677          Vardas677           9        3        2        7        7        2        3        6        
Pavarde678          Vardas678           4        6        9        1        6        5        2        9        
Pavarde679          Vardas679           6        5        7        4        1        9        3        9        
Pavarde680          Vardas680           5        9        3        5        5        7        2        6        
Pavarde681          Vardas681           8        6        4        4        6        1        8        3        
Pavarde682          Vardas682           10       8        4        2        2        9        7        10       
Pavarde683          Vardas683           10       4        5        1        6        10       3        8        
Pavarde684          Vardas684           10       10       7        1        1        5        5        5        
Pavarde685          Vardas685           10       8        8        7        9        9        9        4        
Pavarde686          Vardas686           2        1        9        9        4        2        9        9        
Pavarde687          Vardas687           4        4        8        3        9        4        1        6        
Pavarde688          Vardas688           1        1        3        4        3        2        4        5        
Pavarde689          Vardas689           8        7        6        4        1        9        5        5        
Pavarde690          Vardas690           3        5        5        9        6        1        10       1        
Pavarde691          Vardas691           9        3        3        10       7        5        2        8        
Pavarde692          Vardas692           7        7        2        6        8        8        3        2        
Pavarde693          Vardas693           2        5        7        10       10       7        9        6        
Pavarde694          Vardas694           6        1        2        2        10       9        4        10       
Pavarde695          Vardas695           2        9        10       10       6        6        2        4        
Pavarde696          Vardas696           4        3        6        1        4        8        2        6        
Pavarde697          Vardas697           9        5        1        6        8        9        2        5        
Pavarde698          Vardas698           2        7        6        7        10       5        5        1        
Pavarde699          Vardas699           1        3        7        2        8        4        5        10       
Pavarde700          Vardas700           7        10       4        2        9        2        4        9        
Pavarde701          Vardas701           7        2        8        3        1        4        7        8        
Pavarde702          Vardas702           9        8        5        7        6        10       8        2        
Pavarde703          Vardas703           10       6        3        10       8        3        3        1        
Pavarde704          Vardas704           3        6        8        5        2        9        1        3        
Pavarde705          Vardas705           1        5        4        5        3        3        1        1        
Pavarde706          Vardas706           6        1        4        9        2        3        3        1        
Pavarde707          Vardas707           7        5        3        6        8        8        3        10       
Pavarde708          Vardas708           2        3        1        7        4        4        1        1        
Pavarde709          Vardas709           10       8        8        10       1        7        10       8        
Pavarde710          Vardas710           6        7        7        4        1        10       2        5        
Pavarde711          Vardas711           8        7        7        3        5        8        8        1        
Pavarde712          Vardas712           9        6        4        7        4        1        4        2        
Pavarde713          Vardas713           9        10       10       6        10       10       5        5        
Pavarde714          Vardas714           6        10       6        10       10       1        8        10       
Pavarde715          Vardas715           5        8        2        10       3        8        8        3        
Pavarde716          Vardas716           6        9        3        2        5        5        10       9        
Pavarde717          Vardas717           7        3        4        7        2        4        4        6        
Pavarde718          Vardas718           4        1        4        6        6        3        4        2        
Pavarde719          Vardas719           10       3        8        1        1        2        3        9        
Pavarde720          Vardas720           2        10       6        4        8        7        8        10       
Pavarde721          Vardas721           7        1        5        5        10       4        2        3        
Pavarde722          Vardas722           7        10       2        1        1        9        5        7        
Pavarde723          Vardas723           2        3        2        9        2        10       10       5        
Pavarde724          Vardas724           10       4        7        5        10       1        9        3        
Pavarde725          Vardas725           9        7        5        4        5        8        5        3        
Pavarde726          Vardas726           5        3        7        7        8        4        7        10       
Pavarde727          Vardas727           2        1        2        9        5        9        5        6        
Pavarde728          Vardas728           4        5        10       1        3        5        3        10       
Pavarde729          Vardas729           9        9        6        3        1        3        2        1        
Pavarde730          Vardas730           5        4        9        7        8        8        5        9        
Pavarde731          Vardas731           3        4        1        2        6        4        1        6        
Pavarde732          Vardas732           4        6        2        3        7        7        9        4        
Pavarde733          Vardas733           8        2        7        8        9        10       8        6        
Pavarde734          Vardas734           10       1        9        9        9        5        8        10       
Pavarde735          Vardas735           8        10       7        1        3        3        5        8        
Pavarde736          Vardas736           7        8        4        7        7        9        3        2        
Pavarde737          Vardas737           1        6        7        4        8        4        7        7        
Pavarde738          Vardas738           8        3        9        2        3        7        10       3        
Pavarde739          Vardas739           2        8        6        4        4        5        4        10       
Pavarde740          Vardas740           3        7        6        7        2        1        9        1        
Pavarde741          Vardas741           1        4        1        8        2        10       7        6        
Pavarde742          Vardas742           3        1        9        7        6        2        10       3        
Pavarde743          Vardas743           8        7        10       4        3        3        5        4        
Pavarde744          Vardas744           3        2        8        3        1        5        3        8        
Pavarde745          Vardas745           8        3        1        2        8        1        4        10       
Pavarde746          Vardas746           4        4        6        3        10       10       10       3        
Pavarde747          Vardas747           8        3        5        6        9        2        10       1        
Pavarde748          Vardas748           1        6        6        10       5        8        2        3        
Pavarde749          Vardas749           4        5        5        10       8        6        8        9        
Pavarde750          Vardas750           6        5        8        1        2        1        6        10       
Pavarde751          Vardas751           4        4        7        2        9        10       9        6        
Pavarde752          Vardas752           3        10       8        7        7        9        8        6        
Pavarde753          Vardas753           1        3        9        2        10       7        8        5        
Pavarde754          Vardas754           3        3        3        8        4        1        8        1        
Pavarde755          Vardas755           2        10       6        3        5        1        1        5        
Pavarde756          Vardas756           6        9        1        4        7        10       4        10       
Pavarde757          Vardas757           7        7        4        10       5        1        2        10       
Pavarde758          Vardas758           6        9        10       9        2        8        3        8        
Pavarde759          Vardas759           7        6        8        5        10       10       1        9        
Pavarde760          Vardas760           4        3        4        8        3        3        1        10       
Pavarde761          Vardas761           2        7        8        10       8        1        8        9        
Pavarde762          Vardas762           9        5        7        1        4        2        3        4        
Pavarde763          Vardas763           1        4        9        5        2        10       10       2        
Pavarde764          Vardas764           4        8        2        9        5        5        10       6        
Pavarde765          Vardas765           1        2        1        10       6        4        10       1        
Pavarde766          Vardas766           7        4        6        10       7        5        1        9        
Pavarde767          Vardas767           6        2        1        4        10       8        8        1        
Pavarde768          Vardas768           2        2        9        8        7        5        3        1        
Pavarde769          Vardas769           2        6        10       2        3        4        2        2        
Pavarde770          Vardas770           10       1        1        4        9        1        4        3        
Pavarde771          Vardas771           2        3        10       1        10       10       9        7        
Pavarde772          Vardas772           3        8        7        3        10       8        9        4        
Pavarde773          Vardas773           3        5        2        6        5        4        3        7        
Pavarde774          Vardas774           6        10       7        2        4        2        8        1        
Pavarde775          Vardas775           10       2        4        10       10       6        9        6        
Pavarde776          Vardas776           9        4        4        8        4        7        10       3        
Pavarde777          Vardas777           3        7        7        2        6        5        5        7        
Pavarde778          Vardas778           9        7        2        6        10       3        8        5        
Pavarde779          Vardas779           6        6        9        2        7        7        1        1        
Pavarde780          Vardas780           4        9        5        10       9        1        9        8        
Pavarde781          Vardas781           9        9        8        8        7        9        6        2        
Pavarde782          Vardas782           1        6        6        2        1        4        7        4        
Pavarde783          Vardas783           6        5        8        2        7        1        9        3        
Pavarde784          Vardas784           6        4        1        9        7        3        9        7        
Pavarde785          Vardas785           1        1        10       8        6        3        1        5        
Pavarde786          Vardas786           6        1        10       6        5        8        7        3        
Pavarde787          Vardas787           4        4        6        3        10       5        6        1        
Pavarde788          Vardas788           6        6        3        6        10       8        5        1        
Pavarde789          Vardas789           5        7        2        10       4        10       9        10       
Pavarde790          Vardas790           9        5        8        9        1        3        4        3        
Pavarde791          Vardas791           2        5        2        10       3        5        4        7        
Pavarde792          Vardas792           10       1        8        6        5        6        4        5        
Pavarde793          Vardas793           7        2        5        2        9        3        10       6        
Pavarde794          Vardas794           4        1        4        6        3        10       10       5        
Pavarde795          Vardas795           1        5        5        8        1        5        1        7        
Pavarde796          Vardas796           8        8        10       2        10       1        9        5        
Pavarde797          Vardas797           4        9        8        10       5        6        7        9        
Pavarde798          Vardas798           2        8        2        10       1        2        2        9        
Pavarde799          Vardas799           1        2        3        5        9        8        6        5        
Pavarde800          Vardas800           6        6        5        6        7        4        4        3        
Pavarde801          Vardas801           2        6        6        1        1        9        2        5        
Pavarde802          Vardas802           9        5        2        6        7        3        1        9        
Pavarde803          Vardas803           9        5        8        5        8        2        5        2        
Pavarde804          Vardas804           6        2        1        3        3        6        8        2        
Pavarde805          Vardas805           8        6        8        5        5        6        5        9        
Pavarde806          Vardas806           1        7        7        7        8        1        2        1        
Pavarde807          Vardas807           6        7        6        4        2        7        8        6        
Pavarde808          Vardas808           2        7        8        3        9        2        1        9        
Pavarde809          Vardas809           5        2        10       10       1        10       5        10       
Pavarde810          Vardas810           7        3        9        2        1        6        9        10       
Pavarde811          Vardas811           7        1        4        2        10       8        1        1        
Pavarde812          Vardas812           10       1        10       4        5        4        6        10       
Pavarde813          Vardas813           3        4        4        9        10       9        3        6        
Pavarde814          Vardas814           10       6        7        9        7        8        5        1        
Pavarde815          Vardas815           9        1        10       8        8        7        2        2        
Pavarde816          Vardas816           5        1        10       8        9        6        3        5        
Pavarde817          Vardas817           8        10       2        7        10       1        8        7        
Pavarde818          Vardas818           5        4        9        7        10       4        7        2        
Pavarde819          Vardas819           2        7        1        2        8        2        9        10       
Pavarde820          Vardas820           3        3        7        4        9        4        5        9        
Pavarde821          Vardas821           4        6        9        8        7        6        9        6        
Pavarde822          Vardas822           8        4        5        5        8        4        9        5        
Pavarde823          Vardas823           2        7        8        6        6        6        6        10       
Pavarde824          Vardas824           2        3        6        9        6        2        1        4        
Pavarde825          Vardas825           8        8        7        8        6        8        1        4        
Pavarde826          Vardas826           1        3        5        4        7        8        10       10       
Pavarde827          Vardas827           9        10       10       9        6        3        2        4        
Pavarde828          Vardas828           4        3        8        10       10       4        3        1        
Pavarde829          Vardas829           9        5        1        9        3        8        4        8        
Pavarde830          Vardas830           3        4        9        4        7        8        9        5        
Pavarde831          Vardas831           9        10       8        3        3        1        2        2        
Pavarde832          Vardas832           10       3        2        5        5        4        3        3        
Pavarde833          Vardas833           7        10       10       10       7        6        4        5        
Pavarde834          Vardas834           4        4        1        3        9        6        9        9        
Pavarde835          Vardas835           2        8        9        1        3        4        10       2        
Pavarde836          Vardas836           2        7        5        7        4        4        2        7        
Pavarde837          Vardas837           1        6        6        6        3        2        6        9        
Pavarde838          Vardas838           10       2        6        8        9        1        8        2        
Pavarde839          Vardas839           8        9        1        4        10       10       5        1        
Pavarde840          Vardas840           9        8        3        5        5        1        8        9        
Pavarde841          Vardas841           4        3        3        7        5        5        2        7        
Pavarde842          Vardas842           10       10       6        9        10       3        3        7        
Pavarde843          Vardas843           4        3        5        5        10       4        1        2        
Pavarde844          Vardas844           4        7        9        3        7        8        5        3        
Pavarde845          Vardas845           3        7        6        3        3        2        6        2        
Pavarde846          Vardas846           6        3        4        5        6        2        9        6        
Pavarde847          Vardas847           7        9        4        3        1        5        4        6        
Pavarde848          Vardas848           4        5        5        7        10       8        4        4        
Pavarde849          Vardas849           1        4        4        10       7        6        3        9        
Pavarde850          Vardas850           10       4        7        3        8        2        5        10       
Pavarde851          Vardas851           4        8        10       3        6        9        5        9        
Pavarde852          Vardas852           7        9        1        10       8        3        4        9        
Pavarde853          Vardas853           9        7        10       7        3        9        5        4        
Pavarde854          Vardas854           9        1        6        7        9        5        5        2        
Pavarde855          Vardas855           3        8        10       2        2        3        7        9        
Pavarde856          Vardas856           10       10       6        9        9        9        4        3        
Pavarde857          Vardas857           5        7        7        8        10       9        2        10       
Pavarde858          Vardas858           9        5        4        6        8        2        6        9        
Pavarde859          Vardas859           9        2        7        9        1        8        10       6        
Pavarde860          Vardas860           5        8        4        10       1        2        5        2        
Pavarde861          Vardas861           9        8        6        1        1        5        3        1        
Pavarde862          Vardas862           4        9        2        8        4        5        6        8        
Pavarde863          Vardas863           5        8        1        6        7        3        8        2        
Pavarde864          Vardas864           2        8        5        4        5        10       5        10       
Pavarde865          Vardas865           1        2        10       1        10       7        1        1        
Pavarde866          Vardas866           4        9        6        7        10       3        9        1        
Pavarde867          Vardas867           2        1        9        5        10       3        7        10       
Pavarde868          Vardas868           8        7        9        6        1        7        3        1        
Pavarde869          Vardas869           7        5        10       7        2        10       3        2        
Pavarde870          Vardas870           9        3        2        4        6        10       2        9        
Pavarde871          Vardas871           5        4        2        1        7        3        2        1        
Pavarde872          Vardas872           9        10       9        6        2        3        2        3        
Pavarde873          Vardas873           2        8        2        3        10       4        8        5        
Pavarde874          Vardas874           9        5        1        9        9        3        4        9        
Pavarde875          Vardas875           6        3        3        8        5        7        10       8        
Pavarde876          Vardas876           2        10       4        5        10       7        1        1        
Pavarde877          Vardas877           6        8        4        9        3        10       1        9        
Pavarde878          Vardas878           4        5        4        9        2        2        10       5        
Pavarde879          Vardas879           9        7        6        7        1        1        8        10       
Pavarde880          Vardas880           2        6        7        8        4        5        8        5        
Pavarde881          Vardas881           3        4        8        5        5        10       3        1        
Pavarde882          Vardas882           9        2        4        3        4        2        9        7        
Pavarde883          Vardas883           3        1        3        9        3        5        1        6        
Pavarde884          Vardas884           3        1        9        3        4        3        8        1        
Pavarde885          Vardas885           2        3        5        3        9        6        6        7        
Pavarde886          Vardas886           2        10       3        4        3        4        10       2        
Pavarde887          Vardas887           9        8        8        10       6        5        10       9        
Pavarde888          Vardas888           10       2        9        1        4        3        1        6        
Pavarde889          Vardas889           3        3        5        9        2        1        2        4        
Pavarde890          Vardas890           5        1        4        4        5        6        1        9        
Pavarde891          Vardas891           9        10       2        9        3        7        5        7        
Pavarde892          Vardas892           4        6        6        9        2        9        3        2        
Pavarde893          Vardas893           2        6        1        1        9        4        2        5        
Pavarde894          Vardas894           1        7        4        6        10       9        5        10       
Pavarde895          Vardas895           9        6        5        8        6        1        3        7        
Pavarde896          Vardas896           2        10       8        7        6        9        8        2        
Pavarde897          Vardas897           7        9        8        6        10       1        9        8        
Pavarde898          Vardas898           6        9        10       5        5        2        1        4        
Pavarde899          Vardas899           8        8        8        9        5        1        5        6        
Pavarde900          Vardas900           3        7        4        6        10       6        6        8        
Pavarde901          Vardas901           5        9        9        10       2        1        10       10       
Pavarde902          Vardas902           6        10       9        8        4        6        5        3        
Pavarde903          Vardas903           8        2        4        2        1        9        10       4        
Pavarde904          Vardas904           7        2        8        2        7        9        3        10       
Pavarde905          Vardas905           4        9        2        2        10       4        7        4        
Pavarde906          Vardas906           1        4        2        2        4        7        5        10       
Pavarde907          Vardas907           3        6        6        1        1        7        7        9        
Pavarde908          Vardas908           10       3        1        2        5        3        9        6        
Pavarde909          Vardas909           4        7        1        7        4        5        8        6        
Pavarde910          Vardas910           3        9        10       7        5        10       4        5        
Pavarde911          Vardas911           6        9        3        7        8        4        5        9        
Pavarde912          Vardas912           4        5        5        7        10       6        4        3        
